word,count
часу,48
тоном,48
толпе,48
села,48
прелесть,48
представляется,48
плен,48
обыкновенно,48
обратилась,48
ног,48
найти,48
любит,48
любила,48
издания,48
значения,48
землю,48
женщин,48
деревни,48
вышли,48
войну,48
величество,48
Хотя,48
Мари,48
слез,47
сил,47
рода,47
решительно,47
просил,47
почтительно,47
отцом,47
никак,47
маленькая,47
линии,47
исторических,47
имели,47
детей,47
действия,47
груди,47
графине,47
выйти,47
воображении,47
Приезд,47
Петр,47
Одно,47
Николаю,47
Два,47
Вдруг,47
читать,46
честь,46
человечества,46
стоит,46
состояла,46
слушая,46
рассказывать,46
поздно,46
позади,46
наше,46
начале,46
мосту,46
молодых,46
меньше,46
король,46
командовал,46
коли,46
княжной,46
жизнью,46
жена,46
делают,46
девушка,46
двумя,46
высоко,46
вижу,46
батюшка,46
Генерал,46
Видно,46
prince,46
cette,46
сыном,45
счастлив,45
сих,45
свидания,45
первую,45
офицеру,45
нечего,45
мундире,45
мужиков,45
лесу,45
казался,45
жестом,45
думаете,45
другому,45
деревню,45
де,45
герцог,45
вещи,45
Франции,45
Россию,45
Пети,45
Лысых,45
Бенигсен,45
xx,45
чувством,44
часа,44
скажет,44
роль,44
рада,44
поступок,44
опасности,44
необходимость,44
немного,44
можем,44
марш,44
кем,44
замуж,44
залу,44
двор,44
дам,44
грустно,44
войсками,44
виконт,44
большие,44
Опять,44
Каратаев,44
Балашева,44
lui,44
шагом,43
шаги,43
спать,43
слезами,43
сделала,43
связи,43
решил,43
опустив,43
моста,43
многих,43
краснея,43
каком,43
кабинете,43
женой,43
грудь,43
гораздо,43
глупости,43
вслед,43
впечатление,43
вообще,43
вновь,43
Толстого,43
Растопчина,43
Офицер,43
Опечатка,43
Никто,43
Кутузовым,43
son,43
фланг,42
условий,42
тысячи,42
торопливо,42
спросить,42
состоит,42
службы,42
русски,42
рука,42
робко,42
ребенка,42
причин,42
понимала,42
остановились,42
неприятель,42
непременно,42
находится,42
каждого,42
главнокомандующий,42
всею,42
вне,42
взглянув,42
большое,42
Николаем,42
Может,42
Ее,42
Господи,42
Войны,42
xxi,42
хотели,41
утро,41
узнав,41
ужасно,41
счастие,41
слышать,41
ряд,41
распоряжения,41
пути,41
произошло,41
поскакал,41
новой,41
некоторые,41
называл,41
леса,41
крыльцо,41
кровь,41
капитан,41
желаю,41
дни,41
городе,41
видели,41
быстрыми,41
Эпилог,41
Неужели,41
Борису,41
voilà,41
faire,41
шинели,40
чувствовать,40
условия,40
узнать,40
удовольствие,40
счастия,40
столом,40
солдатами,40
службу,40
службе,40
пришли,40
причина,40
ответил,40
оглядывался,40
обществе,40
моих,40
медленно,40
лицу,40
количество,40
й,40
императору,40
зале,40
душа,40
дому,40
губы,40
голубчик,40
голова,40
говоришь,40
выражения,40
вопроса,40
воля,40
волнения,40
воле,40
военного,40
Сперанский,40
Бородинского,40
non,40
шла,39
ха,39
услыхал,39
указал,39
теми,39
спал,39
служить,39
света,39
разве,39
причиной,39
покраснел,39
показал,39
побежал,39
передать,39
ответ,39
общее,39
обе,39
нового,39
небо,39
нашей,39
министр,39
маленький,39
